line,from_station,to_station,first_time,last_time
7,"
								杨高南路","
								高科西路",340,1360
7,"
								高科西路","
								云台路",343,1363
7,"
								云台路","
								耀华路",345,1365
7,"
								耀华路","
								长清路",347,1367
7,"
								长清路","
								后滩",349,1369
7,"
								后滩","
								龙华中路",351,1371
7,"
								龙华中路","
								东安路",354,1374
7,"
								东安路","
								肇嘉浜路",356,1376
7,"
								肇嘉浜路","
								常熟路",358,1378
7,"
								常熟路","
								静安寺",361,1381
7,"
								静安寺","
								昌平路",363,1383
7,"
								昌平路","
								长寿路",366,1386
7,"
								长寿路","
								镇坪路",368,1388
7,"
								镇坪路","
								岚皋路",370,1390
7,"
								岚皋路","
								新村路",373,1393
7,"
								新村路","
								大华三路",375,1395
7,"
								大华三路","
								行知路",377,1397
7,"
								行知路","
								大场镇",379,1399
7,"
								大场镇","
								场中路",381,1401
7,"
								场中路","
								上大路",384,1404
7,"
								上大路","
								南陈路",386,1406
7,"
								南陈路","
								上海大学",388,1408
7,"
								上海大学","
								祁华路",391,1411
7,"
								祁华路","
								顾村公园",394,1414
7,"
								顾村公园","
								刘行",397,1417
7,"
								刘行","
								潘广路",400,1420
7,"
								潘广路","
								罗南新村",402,1422
7,"
								罗南新村","
								美兰湖",406,1426
7,"
								龙阳路","
								花木路",391,1411
7,"
								芳华路","
								龙阳路",387,1407
7,"
								锦绣路","
								芳华路",385,1405
7,"
								杨高南路","
								锦绣路",383,1403
7,"
								高科西路","
								杨高南路",380,1400
7,"
								云台路","
								高科西路",378,1398
7,"
								耀华路","
								云台路",376,1396
7,"
								长清路","
								耀华路",374,1394
7,"
								后滩","
								长清路",372,1392
7,"
								龙华中路","
								后滩",368,1388
7,"
								东安路","
								龙华中路",366,1386
7,"
								肇嘉浜路","
								东安路",364,1384
7,"
								常熟路","
								肇嘉浜路",361,1381
7,"
								静安寺","
								常熟路",359,1379
7,"
								昌平路","
								静安寺",357,1377
7,"
								长寿路","
								昌平路",355,1375
7,"
								镇坪路","
								长寿路",352,1372
7,"
								岚皋路","
								镇坪路",349,1369
7,"
								新村路","
								岚皋路",347,1367
7,"
								大华三路","
								新村路",345,1365
7,"
								行知路","
								大华三路",343,1363
7,"
								大场镇","
								行知路",341,1361
7,"
								场中路","
								大场镇",339,1359
7,"
								上大路","
								场中路",336,1356
7,"
								南陈路","
								上大路",334,1354
7,"
								上海大学","
								南陈路",332,1352
7,"
								祁华路","
								上海大学",330,1350
7,"
								顾村公园","
								祁华路",342,1346
7,"
								刘行","
								顾村公园",339,1343
7,"
								潘广路","
								刘行",336,1341
7,"
								罗南新村","
								潘广路",332,1337
7,"
								美兰湖","
								罗南新村",330,1335
